LOCATION,TIME,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Access to electricity (% of population),Renewable electricity output (% of total electricity output),Urban population (% of total population),Electric power consumption (kWh per capita)
AFG,1960,64.9517718,22.25299274,2.871174195,8.401,138.3320322
AFG,1961,64.95826763,22.27526801,3.19019355,8.684,138.4705027
AFG,1962,64.96476411,22.29756558,3.5446595,8.976,138.6091118
AFG,1963,64.97126123,22.31988546,3.938510556,9.276,138.7478596
AFG,1964,64.97775901,22.34222769,4.37612284,9.586,138.8867464
AFG,1965,64.98425743,22.36459228,4.862358711,9.904,139.0257722
AFG,1966,64.99075651,22.38697926,5.40262079,10.233,139.1649371
AFG,1967,64.99725624,22.40938865,6.002911989,10.57,139.3042413
AFG,1968,65.00375661,22.43182047,6.66990221,10.918,139.443685
AFG,1969,65.01025764,22.45427475,7.411002455,11.275,139.5832683
AFG,1970,65.01675931,22.4767515,8.234447173,11.643,139.7229913
AFG,1971,65.02326164,22.49925075,9.149385747,12.021,139.8628541
AFG,1972,65.02976462,22.52177252,10.16598416,12.41,140.002857
AFG,1973,65.03626824,22.54431684,11.29553796,12.809,140.143
AFG,1974,65.04277252,22.56688372,12.55059773,13.219,140.2832833
AFG,1975,65.04927745,22.58947319,13.94510859,13.641,140.423707
AFG,1976,65.05578303,22.61208528,15.4945651,14.074,140.5642713
AFG,1977,65.06228925,22.63472,17.21618345,14.517,140.7049762
AFG,1978,65.06879613,22.65737738,19.12909272,14.973,140.8458221
AFG,1979,65.07530366,22.68005743,21.25454747,15.442,140.9868089
AFG,1980,65.08181185,22.7027602,23.61616385,15.995,141.1279368
AFG,1981,65.08832068,22.72548568,26.24018206,16.562,141.269206
AFG,1982,65.09483016,22.74823391,29.15575784,17.147,141.4106166
AFG,1983,65.10134029,22.77100492,32.39528649,17.747,141.5521688
AFG,1984,65.10785108,22.79379872,35.99476277,18.365,141.6938627
AFG,1985,65.11436252,22.81661533,39.99418085,18.997,141.8356984
AFG,1986,65.1208746,22.83945479,44.43797872,19.647,141.977676
AFG,1987,65.12738734,22.86231711,49.37553191,20.314,142.1197958
AFG,1988,65.13390073,22.88520231,54.86170213,20.998,142.2620579
AFG,1989,65.14041477,22.90811042,60.95744681,21.088,142.4044624
AFG,1990,65.14692947,22.93104146,67.73049645,21.177,142.2620579
AFG,1991,65.15344481,22.95399546,67.98029557,21.266,142.1197958
AFG,1992,65.15996081,22.97697243,67.9943101,21.355,141.977676
AFG,1993,65.16647745,22.9999724,68.34532374,21.444,141.8356984
AFG,1994,65.17299475,22.9999747,68.70451237,21.534,141.6938627
AFG,1995,65.17951271,22.999977,69.03703704,21.624,141.5521688
AFG,1996,65.25472675,22.9999793,70.37037037,21.714,141.4106166
