LOCATION,TIME,"Borrowers from commercial banks (per 1,000 adults)"
ARM,1992,0
ARM,1993,0
ARM,1994,0
ARM,1995,0
ARM,1996,0
ARM,1997,0
ARM,1998,0
ARM,1999,0
ARM,2000,0
ARM,2001,0
ARM,2002,0
ARM,2003,0
ARM,2004,0
ARM,2005,0
ARM,2006,0
ARM,2007,0
ARM,2008,0
ARM,2009,0
ARM,2010,0
ARM,2011,0
ARM,2012,0
ARM,2013,0
ARM,2014,0
ARM,2015,0
ARM,2016,0
ARM,2017,0
ARM,2018,0
ARM,2019,0
ARM,2020,0
ABW,1960,0
ABW,1961,0
ABW,1962,0
ABW,1963,0
ABW,1964,0
ABW,1965,0
ABW,1966,0
ABW,1967,0
ABW,1968,0
ABW,1969,0
ABW,1970,0
ABW,1971,0
ABW,1972,0
ABW,1973,0
ABW,1974,0
ABW,1975,0
ABW,1976,0
ABW,1977,0
ABW,1978,0
ABW,1979,0
ABW,1980,0
ABW,1981,0
ABW,1982,0
ABW,1983,0
ABW,1984,0
ABW,1985,0
ABW,1986,0
ABW,1987,0
ABW,1988,0
ABW,1989,0
ABW,1990,0
ABW,1991,0
ABW,1992,0
ABW,1993,0
ABW,1994,0
ABW,1995,0
ABW,1996,0
ABW,1997,0
ABW,1998,0
ABW,1999,0
ABW,2000,0
ABW,2001,0
ABW,2002,0
ABW,2003,0
ABW,2004,0
ABW,2005,0
ABW,2006,0
ABW,2007,0
ABW,2008,0
ABW,2009,0
ABW,2010,0
ABW,2011,0
ABW,2012,0
ABW,2013,0
ABW,2014,0
ABW,2015,0
ABW,2016,0
ABW,2017,0
ABW,2018,0
ABW,2019,0
ABW,2020,0
AUS,1960,0
AUS,1961,0
AUS,1962,0
AUS,1963,0
AUS,1964,0
AUS,1965,0
AUS,1966,0
AUS,1967,0
AUS,1968,0
AUS,1969,0
AUS,1970,0
AUS,1971,0
AUS,1972,0
AUS,1973,0
AUS,1974,0
AUS,1975,0
AUS,1976,0
AUS,1977,0
AUS,1978,0
AUS,1979,0
AUS,1980,0
AUS,1981,0
AUS,1982,0
AUS,1983,0
AUS,1984,0
AUS,1985,0
AUS,1986,0
AUS,1987,0
AUS,1988,0
AUS,1989,0
AUS,1990,0
AUS,1991,0
AUS,1992,0
AUS,1993,0
AUS,1994,0
AUS,1995,0
AUS,1996,0
AUS,1997,0
AUS,1998,0
AUS,1999,0
AUS,2000,0
AUS,2001,0
AUS,2002,0
AUS,2003,0
AUS,2004,0
AUS,2005,0
AUS,2006,0
AUS,2007,0
AUS,2008,0
AUS,2009,0
AUS,2010,0
AUS,2011,0
AUS,2012,0
AUS,2013,0
AUS,2014,0
AUS,2015,0
AUS,2016,0
AUS,2017,0
AUS,2018,0
AUS,2019,0
AUS,2020,0
AUT,1960,0
AUT,1961,0
AUT,1962,0
AUT,1963,0
AUT,1964,0
AUT,1965,0
AUT,1966,0
AUT,1967,0
AUT,1968,0
AUT,1969,0
AUT,1970,0
AUT,1971,0
AUT,1972,0
AUT,1973,0
AUT,1974,0
AUT,1975,0
AUT,1976,0
AUT,1977,0
AUT,1978,0
AUT,1979,0
AUT,1980,0
AUT,1981,0
AUT,1982,0
AUT,1983,0
AUT,1984,0
AUT,1985,0
AUT,1986,0
AUT,1987,0
AUT,1988,0
AUT,1989,0
AUT,1990,0
AUT,1991,0
AUT,1992,0
AUT,1993,0
AUT,1994,0
AUT,1995,0
AUT,1996,0
AUT,1997,0
AUT,1998,0
AUT,1999,0
AUT,2000,0
AUT,2001,0
AUT,2002,0
AUT,2003,0
AUT,2004,0
AUT,2005,0
AUT,2006,0
AUT,2007,0
AUT,2008,0
AUT,2009,0
AUT,2010,0
AUT,2011,0
AUT,2012,0
AUT,2013,0
AUT,2014,0
AUT,2015,0
AUT,2016,0
AUT,2017,0
AUT,2018,0
AUT,2019,0
AUT,2020,0
AZE,1960,0
AZE,1961,0
AZE,1962,0
AZE,1963,0
AZE,1964,0
AZE,1965,0
AZE,1966,0
AZE,1967,0
AZE,1968,0
AZE,1969,0
AZE,1970,0
AZE,1971,0
AZE,1972,0
AZE,1973,0
AZE,1974,0
AZE,1975,0
AZE,1976,0
AZE,1977,0
AZE,1978,0
AZE,1979,0
AZE,1980,0
AZE,1981,0
AZE,1982,0
AZE,1983,0
AZE,1984,0
AZE,1985,0
AZE,1986,0
AZE,1987,0
AZE,1988,0
AZE,1989,0
AZE,1990,0
AZE,1991,0
AZE,1992,0
AZE,1993,0
AZE,1994,0
AZE,1995,0
AZE,1996,0
AZE,1997,0
AZE,1998,0
AZE,1999,0
AZE,2000,0
AZE,2001,0
AZE,2002,0
AZE,2003,0
AZE,2004,0
AZE,2005,20.69035366
AZE,2006,34.62937447
AZE,2007,60.15034339
AZE,2008,78.35739017
AZE,2009,69.08557973
AZE,2010,82.17231343
AZE,2011,110.849434
AZE,2012,152.7436797
AZE,2013,237.3731579
AZE,2014,290.8885718
AZE,2015,0
AZE,2016,0
AZE,2017,0
AZE,2018,0
AZE,2019,0
AZE,2020,0
BHS,1960,0
BHS,1961,0
BHS,1962,0
BHS,1963,0
BHS,1964,0
BHS,1965,0
BHS,1966,0
BHS,1967,0
BHS,1968,0
BHS,1969,0
BHS,1970,0
BHS,1971,0
BHS,1972,0
BHS,1973,0
BHS,1974,0
BHS,1975,0
BHS,1976,0
BHS,1977,0
BHS,1978,0
BHS,1979,0
BHS,1980,0
BHS,1981,0
BHS,1982,0
BHS,1983,0
BHS,1984,0
BHS,1985,0
BHS,1986,0
BHS,1987,0
BHS,1988,0
BHS,1989,0
BHS,1990,0
BHS,1991,0
BHS,1992,0
BHS,1993,0
BHS,1994,0
BHS,1995,0
BHS,1996,0
BHS,1997,0
BHS,1998,0
BHS,1999,0
BHS,2000,0
BHS,2001,0
BHS,2002,0
BHS,2003,0
BHS,2004,0
BHS,2005,0
BHS,2006,0
BHS,2007,0
BHS,2008,0
BHS,2009,0
BHS,2010,0
BHS,2011,0
BHS,2012,0
BHS,2013,0
BHS,2014,0
BHS,2015,0
BHS,2016,0
BHS,2017,0
BHS,2018,0
BHS,2019,0
BHS,2020,0
BHR,1960,0
BHR,1961,0
BHR,1962,0
BHR,1963,0
BHR,1964,0
BHR,1965,0
BHR,1966,0
BHR,1967,0
BHR,1968,0
BHR,1969,0
BHR,1970,0
BHR,1971,0
BHR,1972,0
BHR,1973,0
BHR,1974,0
BHR,1975,0
BHR,1976,0
BHR,1977,0
BHR,1978,0
BHR,1979,0
BHR,1980,0
BHR,1981,0
BHR,1982,0
BHR,1983,0
BHR,1984,0
BHR,1985,0
BHR,1986,0
BHR,1987,0
BHR,1988,0
BHR,1989,0
BHR,1990,0
BHR,1991,0
BHR,1992,0
BHR,1993,0
BHR,1994,0
BHR,1995,0
BHR,1996,0
BHR,1997,0
BHR,1998,0
BHR,1999,0
BHR,2000,0
BHR,2001,0
BHR,2002,0
BHR,2003,0
BHR,2004,0
BHR,2005,0
BHR,2006,0
BHR,2007,0
BHR,2008,0
BHR,2009,0
BHR,2010,0
BHR,2011,0
BHR,2012,0
BHR,2013,0
BHR,2014,0
BHR,2015,0
BHR,2016,0
BHR,2017,0
BHR,2018,0
BHR,2019,0
BHR,2020,0
BGD,1960,0
BGD,1961,0
BGD,1962,0
BGD,1963,0
BGD,1964,0
BGD,1965,0
BGD,1966,0
BGD,1967,0
BGD,1968,0
BGD,1969,0
BGD,1970,0
BGD,1971,0
BGD,1972,0
BGD,1973,0
BGD,1974,0
BGD,1975,0
BGD,1976,0
BGD,1977,0
BGD,1978,0
BGD,1979,0
BGD,1980,0
BGD,1981,0
BGD,1982,0
BGD,1983,0
BGD,1984,0
BGD,1985,0
BGD,1986,0
BGD,1987,0
BGD,1988,0
BGD,1989,0
BGD,1990,0
BGD,1991,0
BGD,1992,0
BGD,1993,0
BGD,1994,0
BGD,1995,0
BGD,1996,0
BGD,1997,0
BGD,1998,0
BGD,1999,0
BGD,2000,0
BGD,2001,0
BGD,2002,0
BGD,2003,0
BGD,2004,87.57869882
BGD,2005,90.08601278
BGD,2006,91.16511348
BGD,2007,87.14664824
BGD,2008,87.23753743
BGD,2009,86.5618862
BGD,2010,87.66490455
BGD,2011,89.21611964
BGD,2012,87.59353679
BGD,2013,81.30641444
BGD,2014,76.47820742
BGD,2015,83.70743553
BGD,2016,81.35397702
BGD,2017,82.78596114
BGD,2018,83.07933071
BGD,2019,0
BGD,2020,0
BRB,1960,0
BRB,1961,0
BRB,1962,0
BRB,1963,0
BRB,1964,0
BRB,1965,0
BRB,1966,0
BRB,1967,0
BRB,1968,0
BRB,1969,0
BRB,1970,0
BRB,1971,0
BRB,1972,0
BRB,1973,0
BRB,1974,0
BRB,1975,0
BRB,1976,0
BRB,1977,0
BRB,1978,0
BRB,1979,0
BRB,1980,0
BRB,1981,0
BRB,1982,0
BRB,1983,0
BRB,1984,0
BRB,1985,0
BRB,1986,0
BRB,1987,0
BRB,1988,0
BRB,1989,0
BRB,1990,0
BRB,1991,0
BRB,1992,0
BRB,1993,0
BRB,1994,0
BRB,1995,0
BRB,1996,0
BRB,1997,0
BRB,1998,0
BRB,1999,0
BRB,2000,0
BRB,2001,0
BRB,2002,0
BRB,2003,0
BRB,2004,0
BRB,2005,0
BRB,2006,0
BRB,2007,0
BRB,2008,0
BRB,2009,0
BRB,2010,0
BRB,2011,0
BRB,2012,0
BRB,2013,0
BRB,2014,0
BRB,2015,0
BRB,2016,0
BRB,2017,0
BRB,2018,0
BRB,2019,0
BRB,2020,0
BLR,1960,0
BLR,1961,0
BLR,1962,0
BLR,1963,0
BLR,1964,0
BLR,1965,0
BLR,1966,0
BLR,1967,0
BLR,1968,0
BLR,1969,0
BLR,1970,0
BLR,1971,0
BLR,1972,0
BLR,1973,0
BLR,1974,0
BLR,1975,0
BLR,1976,0
BLR,1977,0
BLR,1978,0
BLR,1979,0
BLR,1980,0
BLR,1981,0
BLR,1982,0
BLR,1983,0
BLR,1984,0
BLR,1985,0
BLR,1986,0
BLR,1987,0
BLR,1988,0
BLR,1989,0
BLR,1990,0
BLR,1991,0
BLR,1992,0
BLR,1993,0
BLR,1994,0
BLR,1995,0
BLR,1996,0
BLR,1997,0
BLR,1998,0
BLR,1999,0
BLR,2000,0
BLR,2001,0
BLR,2002,0
BLR,2003,0
BLR,2004,0
BLR,2005,0
BLR,2006,0
BLR,2007,0
BLR,2008,0
BLR,2009,0
BLR,2010,0
BLR,2011,0
BLR,2012,0
BLR,2013,0
BLR,2014,0
BLR,2015,0
BLR,2016,0
BLR,2017,0
BLR,2018,0
BLR,2019,0
BLR,2020,0
BEL,1960,0
BEL,1961,0
BEL,1962,0
BEL,1963,0
BEL,1964,0
BEL,1965,0
BEL,1966,0
BEL,1967,0
BEL,1968,0
BEL,1969,0
BEL,1970,0
BEL,1971,0
BEL,1972,0
BEL,1973,0
BEL,1974,0
BEL,1975,0
BEL,1976,0
BEL,1977,0
BEL,1978,0
BEL,1979,0
BEL,1980,0
BEL,1981,0
BEL,1982,0
BEL,1983,0
BEL,1984,0
BEL,1985,0
BEL,1986,0
BEL,1987,0
BEL,1988,0
BEL,1989,0
BEL,1990,0
BEL,1991,0
BEL,1992,0
BEL,1993,0
BEL,1994,0
BEL,1995,0
BEL,1996,0
BEL,1997,0
BEL,1998,0
BEL,1999,0
BEL,2000,0
BEL,2001,0
BEL,2002,0
BEL,2003,0
BEL,2004,0
BEL,2005,0
BEL,2006,0
BEL,2007,552.1537768
BEL,2008,562.103742
BEL,2009,567.9392736
BEL,2010,570.2692281
BEL,2011,696.4111908
BEL,2012,711.1947452
BEL,2013,709.6083949
BEL,2014,703.3397295
BEL,2015,699.7166007
BEL,2016,699.2039296
BEL,2017,698.2010191
BEL,2018,696.1088916
BEL,2019,688.4323935
BEL,2020,0
BLZ,1960,0
BLZ,1961,0
BLZ,1962,0
BLZ,1963,0
BLZ,1964,0
BLZ,1965,0
BLZ,1966,0
BLZ,1967,0
BLZ,1968,0
BLZ,1969,0
BLZ,1970,0
BLZ,1971,0
BLZ,1972,0
BLZ,1973,0
BLZ,1974,0
BLZ,1975,0
BLZ,1976,0
BLZ,1977,0
BLZ,1978,0
BLZ,1979,0
BLZ,1980,0
BLZ,1981,0
BLZ,1982,0
BLZ,1983,0
BLZ,1984,0
BLZ,1985,0
BLZ,1986,0
BLZ,1987,0
BLZ,1988,0
BLZ,1989,0
BLZ,1990,0
BLZ,1991,0
BLZ,1992,0
BLZ,1993,0
BLZ,1994,0
BLZ,1995,0
BLZ,1996,0
BLZ,1997,0
BLZ,1998,0
BLZ,1999,0
BLZ,2000,0
BLZ,2001,0
BLZ,2002,0
BLZ,2003,0
BLZ,2004,192.0831868
BLZ,2005,321.4337207
BLZ,2006,242.9183786
BLZ,2007,272.433458
BLZ,2008,308.209584
BLZ,2009,342.3075197
BLZ,2010,320.807606
BLZ,2011,227.8011309
BLZ,2012,210.4430309
BLZ,2013,174.0072391
BLZ,2014,195.8172743
BLZ,2015,160.0071818
BLZ,2016,164.3457131
BLZ,2017,149.8673178
BLZ,2018,152.1989831
BLZ,2019,151.8544029
BLZ,2020,0
BEN,1960,0
BEN,1961,0
BEN,1962,0
BEN,1963,0
BEN,1964,0
BEN,1965,0
BEN,1966,0
BEN,1967,0
BEN,1968,0
BEN,1969,0
BEN,1970,0
BEN,1971,0
BEN,1972,0
BEN,1973,0
BEN,1974,0
BEN,1975,0
BEN,1976,0
BEN,1977,0
BEN,1978,0
BEN,1979,0
BEN,1980,0
BEN,1981,0
BEN,1982,0
BEN,1983,0
BEN,1984,0
BEN,1985,0
BEN,1986,0
BEN,1987,0
BEN,1988,0
BEN,1989,0
BEN,1990,0
BEN,1991,0
BEN,1992,0
BEN,1993,0
BEN,1994,0
BEN,1995,0
BEN,1996,0
BEN,1997,0
BEN,1998,0
BEN,1999,0
BEN,2000,0
BEN,2001,0
BEN,2002,0
BEN,2003,0
BEN,2004,0
BEN,2005,0
BEN,2006,0
BEN,2007,0
BEN,2008,0
BEN,2009,0
BEN,2010,0
BEN,2011,0
BEN,2012,0
BEN,2013,0
BEN,2014,0
BEN,2015,0
BEN,2016,0
BEN,2017,0
BEN,2018,0
BEN,2019,0
BEN,2020,0
BMU,1960,0
BMU,1961,0
BMU,1962,0
BMU,1963,0
BMU,1964,0
BMU,1965,0
BMU,1966,0
BMU,1967,0
BMU,1968,0
BMU,1969,0
BMU,1970,0
BMU,1971,0
BMU,1972,0
BMU,1973,0
BMU,1974,0
BMU,1975,0
BMU,1976,0
BMU,1977,0
BMU,1978,0
BMU,1979,0
BMU,1980,0
BMU,1981,0
BMU,1982,0
BMU,1983,0
BMU,1984,0
BMU,1985,0
BMU,1986,0
BMU,1987,0
BMU,1988,0
BMU,1989,0
BMU,1990,0
BMU,1991,0
BMU,1992,0
BMU,1993,0
BMU,1994,0
BMU,1995,0
BMU,1996,0
BMU,1997,0
BMU,1998,0
BMU,1999,0
BMU,2000,0
BMU,2001,0
BMU,2002,0
BMU,2003,0
BMU,2004,0
BMU,2005,0
BMU,2006,0
BMU,2007,0
BMU,2008,0
BMU,2009,0
BMU,2010,0
BMU,2011,0
BMU,2012,0
BMU,2013,0
BMU,2014,0
BMU,2015,0
BMU,2016,0
BMU,2017,0
BMU,2018,0
BMU,2019,0
BMU,2020,0
BTN,1960,0
BTN,1961,0
BTN,1962,0
BTN,1963,0
BTN,1964,0
BTN,1965,0
BTN,1966,0
BTN,1967,0
BTN,1968,0
BTN,1969,0
BTN,1970,0
BTN,1971,0
BTN,1972,0
BTN,1973,0
BTN,1974,0
BTN,1975,0
BTN,1976,0
BTN,1977,0
BTN,1978,0
BTN,1979,0
BTN,1980,0
BTN,1981,0
BTN,1982,0
BTN,1983,0
BTN,1984,0
BTN,1985,0
BTN,1986,0
BTN,1987,0
BTN,1988,0
BTN,1989,0
BTN,1990,0
BTN,1991,0
BTN,1992,0
BTN,1993,0
BTN,1994,0
BTN,1995,0
BTN,1996,0
BTN,1997,0
BTN,1998,0
BTN,1999,0
BTN,2000,0
BTN,2001,0
BTN,2002,0
BTN,2003,0
BTN,2004,0
BTN,2005,0
BTN,2006,0
BTN,2007,0
BTN,2008,0
BTN,2009,0
BTN,2010,0
BTN,2011,0
BTN,2012,0
BTN,2013,0
BTN,2014,0
BTN,2015,0
BTN,2016,0
BTN,2017,0
BTN,2018,0
BTN,2019,0
BTN,2020,0
BOL,1960,0
BOL,1961,0
BOL,1962,0
BOL,1963,0
BOL,1964,0
BOL,1965,0
BOL,1966,0
BOL,1967,0
BOL,1968,0
BOL,1969,0
BOL,1970,0
BOL,1971,0
BOL,1972,0
BOL,1973,0
BOL,1974,0
BOL,1975,0
BOL,1976,0
BOL,1977,0
BOL,1978,0
BOL,1979,0
BOL,1980,0
BOL,1981,0
BOL,1982,0
BOL,1983,0
BOL,1984,0
BOL,1985,0
BOL,1986,0
BOL,1987,0
BOL,1988,0
BOL,1989,0
BOL,1990,0
BOL,1991,0
BOL,1992,0
BOL,1993,0
BOL,1994,0
BOL,1995,0
BOL,1996,0
BOL,1997,0
BOL,1998,0
BOL,1999,0
BOL,2000,0
BOL,2001,0
BOL,2002,0
BOL,2003,0
BOL,2004,23.34257873
BOL,2005,22.54290363
BOL,2006,27.22454947
BOL,2007,31.0176889
BOL,2008,24.99696818
BOL,2009,27.2768149
BOL,2010,28.07692074
BOL,2011,32.88340118
BOL,2012,39.44164302
BOL,2013,48.77763455
BOL,2014,54.71155143
BOL,2015,59.92760159
BOL,2016,63.63225281
BOL,2017,69.86675331
BOL,2018,71.13142239
BOL,2019,73.44078632
BOL,2020,0
BIH,1960,0
BIH,1961,0
BIH,1962,0
BIH,1963,0
BIH,1964,0
BIH,1965,0
BIH,1966,0
BIH,1967,0
BIH,1968,0
BIH,1969,0
BIH,1970,0
BIH,1971,0
BIH,1972,0
BIH,1973,0
BIH,1974,0
BIH,1975,0
BIH,1976,0
BIH,1977,0
BIH,1978,0
BIH,1979,0
BIH,1980,0
BIH,1981,0
BIH,1982,0
BIH,1983,0
BIH,1984,0
BIH,1985,0
