LOCATION,VARIABLE,Variable,SOURCE,Source,YEAR,Year,visitors,Flag Codes,Flags
AUS,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2008,2008,5621800,,
AUS,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2009,2009,5515000,,
AUS,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2010,2010,5671000,,
AUS,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2011,2011,5899800,,
AUS,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2012,2012,5990800,,
AUS,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2013,2013,6292800,,
AUS,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2014,2014,6724500,,
AUS,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2015,2015,7138200,,
AUS,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2016,2016,7852900,,
AUS,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2017,2017,8557554,,
AUS,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2018,2018,9071700,,
AUS,CHN,China,DEMAND,Tourism demand surveys,2008,2008,373200,,
AUS,CHN,China,DEMAND,Tourism demand surveys,2009,2009,355100,,
AUS,CHN,China,DEMAND,Tourism demand surveys,2010,2010,390400,,
AUS,CHN,China,DEMAND,Tourism demand surveys,2011,2011,498400,,
AUS,CHN,China,DEMAND,Tourism demand surveys,2012,2012,583800,,
AUS,CHN,China,DEMAND,Tourism demand surveys,2013,2013,689600,,
AUS,CHN,China,DEMAND,Tourism demand surveys,2014,2014,773700,,
AUS,CHN,China,DEMAND,Tourism demand surveys,2015,2015,936000,,
AUS,CHN,China,DEMAND,Tourism demand surveys,2016,2016,1145700,,
AUS,CHN,China,DEMAND,Tourism demand surveys,2017,2017,1259100,,
AUS,CHN,China,DEMAND,Tourism demand surveys,2018,2018,1421600,,
AUS,GBR,United Kingdom,DEMAND,Tourism demand surveys,2008,2008,709800,,
AUS,GBR,United Kingdom,DEMAND,Tourism demand surveys,2009,2009,679700,,
AUS,GBR,United Kingdom,DEMAND,Tourism demand surveys,2010,2010,678200,,
AUS,GBR,United Kingdom,DEMAND,Tourism demand surveys,2011,2011,661200,,
AUS,GBR,United Kingdom,DEMAND,Tourism demand surveys,2012,2012,626700,,
AUS,GBR,United Kingdom,DEMAND,Tourism demand surveys,2013,2013,637900,,
AUS,GBR,United Kingdom,DEMAND,Tourism demand surveys,2014,2014,671200,,
AUS,GBR,United Kingdom,DEMAND,Tourism demand surveys,2015,2015,667100,,
AUS,GBR,United Kingdom,DEMAND,Tourism demand surveys,2016,2016,703700,,
AUS,GBR,United Kingdom,DEMAND,Tourism demand surveys,2017,2017,726400,,
AUS,GBR,United Kingdom,DEMAND,Tourism demand surveys,2018,2018,742100,,
AUS,JPN,Japan,DEMAND,Tourism demand surveys,2008,2008,519800,,
AUS,JPN,Japan,DEMAND,Tourism demand surveys,2009,2009,402300,,
AUS,JPN,Japan,DEMAND,Tourism demand surveys,2010,2010,361800,,
AUS,JPN,Japan,DEMAND,Tourism demand surveys,2011,2011,363000,,
AUS,JPN,Japan,DEMAND,Tourism demand surveys,2012,2012,344000,,
AUS,JPN,Japan,DEMAND,Tourism demand surveys,2013,2013,339100,,
AUS,JPN,Japan,DEMAND,Tourism demand surveys,2014,2014,330700,,
AUS,JPN,Japan,DEMAND,Tourism demand surveys,2015,2015,332700,,
AUS,JPN,Japan,DEMAND,Tourism demand surveys,2016,2016,380400,,
AUS,JPN,Japan,DEMAND,Tourism demand surveys,2017,2017,428500,,
AUS,JPN,Japan,DEMAND,Tourism demand surveys,2018,2018,442300,,
AUS,NZL,New Zealand,DEMAND,Tourism demand surveys,2008,2008,1113600,,
AUS,NZL,New Zealand,DEMAND,Tourism demand surveys,2009,2009,1096500,,
AUS,NZL,New Zealand,DEMAND,Tourism demand surveys,2010,2010,1111100,,
AUS,NZL,New Zealand,DEMAND,Tourism demand surveys,2011,2011,1175500,,
AUS,NZL,New Zealand,DEMAND,Tourism demand surveys,2012,2012,1184100,,
AUS,NZL,New Zealand,DEMAND,Tourism demand surveys,2013,2013,1182500,,
AUS,NZL,New Zealand,DEMAND,Tourism demand surveys,2014,2014,1226500,,
AUS,NZL,New Zealand,DEMAND,Tourism demand surveys,2015,2015,1270800,,
AUS,NZL,New Zealand,DEMAND,Tourism demand surveys,2016,2016,1325200,,
AUS,NZL,New Zealand,DEMAND,Tourism demand surveys,2017,2017,1352900,,
AUS,NZL,New Zealand,DEMAND,Tourism demand surveys,2018,2018,1371300,,
AUS,USA,United States,DEMAND,Tourism demand surveys,2008,2008,461700,,
AUS,USA,United States,DEMAND,Tourism demand surveys,2009,2009,455900,,
AUS,USA,United States,DEMAND,Tourism demand surveys,2010,2010,494200,,
AUS,USA,United States,DEMAND,Tourism demand surveys,2011,2011,475700,,
AUS,USA,United States,DEMAND,Tourism demand surveys,2012,2012,483900,,
AUS,USA,United States,DEMAND,Tourism demand surveys,2013,2013,509800,,
AUS,USA,United States,DEMAND,Tourism demand surveys,2014,2014,538200,,
AUS,USA,United States,DEMAND,Tourism demand surveys,2015,2015,584600,,
AUS,USA,United States,DEMAND,Tourism demand surveys,2016,2016,664700,,
AUS,USA,United States,DEMAND,Tourism demand surveys,2017,2017,759400,,
AUS,USA,United States,DEMAND,Tourism demand surveys,2018,2018,788000,,
AUS,SGP,Singapore,DEMAND,Tourism demand surveys,2008,2008,231100,,
AUS,SGP,Singapore,DEMAND,Tourism demand surveys,2009,2009,237100,,
AUS,SGP,Singapore,DEMAND,Tourism demand surveys,2010,2010,248400,,
AUS,SGP,Singapore,DEMAND,Tourism demand surveys,2011,2011,268300,,
AUS,SGP,Singapore,DEMAND,Tourism demand surveys,2012,2012,265900,,
AUS,SGP,Singapore,DEMAND,Tourism demand surveys,2013,2013,306900,,
AUS,SGP,Singapore,DEMAND,Tourism demand surveys,2014,2014,357800,,
AUS,SGP,Singapore,DEMAND,Tourism demand surveys,2015,2015,363300,,
AUS,SGP,Singapore,DEMAND,Tourism demand surveys,2016,2016,418900,,
AUS,SGP,Singapore,DEMAND,Tourism demand surveys,2017,2017,432000,,
AUS,SGP,Singapore,DEMAND,Tourism demand surveys,2018,2018,432600,,
AUS,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,DEMAND,Tourism demand surveys,2008,2008,158956372,,
AUS,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,DEMAND,Tourism demand surveys,2009,2009,172730578,,
AUS,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,DEMAND,Tourism demand surveys,2010,2010,182268932,,
AUS,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,DEMAND,Tourism demand surveys,2011,2011,190471255,,
AUS,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,DEMAND,Tourism demand surveys,2012,2012,200392859,,
AUS,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,DEMAND,Tourism demand surveys,2013,2013,217692167,,
